,object,split,label,image,mask,category
0,bottle,test,anomaly,bottle/test/broken_large/000.png,bottle/ground_truth/broken_large/000_mask.png,broken_large
1,bottle,test,anomaly,bottle/test/broken_large/001.png,bottle/ground_truth/broken_large/001_mask.png,broken_large
2,bottle,test,anomaly,bottle/test/broken_large/002.png,bottle/ground_truth/broken_large/002_mask.png,broken_large
3,bottle,test,anomaly,bottle/test/broken_large/003.png,bottle/ground_truth/broken_large/003_mask.png,broken_large
4,bottle,test,anomaly,bottle/test/broken_large/004.png,bottle/ground_truth/broken_large/004_mask.png,broken_large
5,bottle,test,anomaly,bottle/test/broken_large/005.png,bottle/ground_truth/broken_large/005_mask.png,broken_large
6,bottle,test,anomaly,bottle/test/broken_large/006.png,bottle/ground_truth/broken_large/006_mask.png,broken_large
7,bottle,test,anomaly,bottle/test/broken_large/007.png,bottle/ground_truth/broken_large/007_mask.png,broken_large
8,bottle,test,anomaly,bottle/test/broken_large/008.png,bottle/ground_truth/broken_large/008_mask.png,broken_large
9,bottle,test,anomaly,bottle/test/broken_large/009.png,bottle/ground_truth/broken_large/009_mask.png,broken_large
10,bottle,test,anomaly,bottle/test/broken_large/010.png,bottle/ground_truth/broken_large/010_mask.png,broken_large
11,bottle,test,anomaly,bottle/test/broken_large/011.png,bottle/ground_truth/broken_large/011_mask.png,broken_large
12,bottle,test,anomaly,bottle/test/broken_large/012.png,bottle/ground_truth/broken_large/012_mask.png,broken_large
13,bottle,test,anomaly,bottle/test/broken_large/013.png,bottle/ground_truth/broken_large/013_mask.png,broken_large
14,bottle,test,anomaly,bottle/test/broken_large/014.png,bottle/ground_truth/broken_large/014_mask.png,broken_large
15,bottle,test,anomaly,bottle/test/broken_large/015.png,bottle/ground_truth/broken_large/015_mask.png,broken_large
16,bottle,test,anomaly,bottle/test/broken_large/016.png,bottle/ground_truth/broken_large/016_mask.png,broken_large
17,bottle,test,anomaly,bottle/test/broken_large/017.png,bottle/ground_truth/broken_large/017_mask.png,broken_large
18,bottle,test,anomaly,bottle/test/broken_large/018.png,bottle/ground_truth/broken_large/018_mask.png,broken_large
19,bottle,test,anomaly,bottle/test/broken_large/019.png,bottle/ground_truth/broken_large/019_mask.png,broken_large
20,bottle,test,anomaly,bottle/test/broken_small/000.png,bottle/ground_truth/broken_small/000_mask.png,broken_small
21,bottle,test,anomaly,bottle/test/broken_small/001.png,bottle/ground_truth/broken_small/001_mask.png,broken_small
22,bottle,test,anomaly,bottle/test/broken_small/002.png,bottle/ground_truth/broken_small/002_mask.png,broken_small
23,bottle,test,anomaly,bottle/test/broken_small/003.png,bottle/ground_truth/broken_small/003_mask.png,broken_small
24,bottle,test,anomaly,bottle/test/broken_small/004.png,bottle/ground_truth/broken_small/004_mask.png,broken_small
25,bottle,test,anomaly,bottle/test/broken_small/005.png,bottle/ground_truth/broken_small/005_mask.png,broken_small
26,bottle,test,anomaly,bottle/test/broken_small/006.png,bottle/ground_truth/broken_small/006_mask.png,broken_small
27,bottle,test,anomaly,bottle/test/broken_small/007.png,bottle/ground_truth/broken_small/007_mask.png,broken_small
28,bottle,test,anomaly,bottle/test/broken_small/008.png,bottle/ground_truth/broken_small/008_mask.png,broken_small
29,bottle,test,anomaly,bottle/test/broken_small/009.png,bottle/ground_truth/broken_small/009_mask.png,broken_small
30,bottle,test,anomaly,bottle/test/broken_small/010.png,bottle/ground_truth/broken_small/010_mask.png,broken_small
31,bottle,test,anomaly,bottle/test/broken_small/011.png,bottle/ground_truth/broken_small/011_mask.png,broken_small
32,bottle,test,anomaly,bottle/test/broken_small/012.png,bottle/ground_truth/broken_small/012_mask.png,broken_small
33,bottle,test,anomaly,bottle/test/broken_small/013.png,bottle/ground_truth/broken_small/013_mask.png,broken_small
34,bottle,test,anomaly,bottle/test/broken_small/014.png,bottle/ground_truth/broken_small/014_mask.png,broken_small
35,bottle,test,anomaly,bottle/test/broken_small/015.png,bottle/ground_truth/broken_small/015_mask.png,broken_small
36,bottle,test,anomaly,bottle/test/broken_small/016.png,bottle/ground_truth/broken_small/016_mask.png,broken_small
37,bottle,test,anomaly,bottle/test/broken_small/017.png,bottle/ground_truth/broken_small/017_mask.png,broken_small
38,bottle,test,anomaly,bottle/test/broken_small/018.png,bottle/ground_truth/broken_small/018_mask.png,broken_small
39,bottle,test,anomaly,bottle/test/broken_small/019.png,bottle/ground_truth/broken_small/019_mask.png,broken_small
40,bottle,test,anomaly,bottle/test/broken_small/020.png,bottle/ground_truth/broken_small/020_mask.png,broken_small
41,bottle,test,anomaly,bottle/test/broken_small/021.png,bottle/ground_truth/broken_small/021_mask.png,broken_small
